Time,Q1,T1,SP1
0.000000000000000000e+00,0.000000000000000000e+00,2.347700000000000031e+01,2.300000000000000000e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.347700000000000031e+01,2.300000000000000000e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.347700000000000031e+01,2.300000000000000000e+01
3.000000000000000000e+00,0.000000000000000000e+00,2.347700000000000031e+01,2.300000000000000000e+01
4.000000000000000000e+00,0.000000000000000000e+00,2.347700000000000031e+01,2.300000000000000000e+01
5.000000000000000000e+00,0.000000000000000000e+00,2.347700000000000031e+01,2.300000000000000000e+01
6.000000000000000000e+00,0.000000000000000000e+00,2.347700000000000031e+01,2.300000000000000000e+01
7.000000000000000000e+00,0.000000000000000000e+00,2.347700000000000031e+01,2.300000000000000000e+01
8.000000000000000000e+00,0.000000000000000000e+00,2.347700000000000031e+01,2.300000000000000000e+01
9.000000000000000000e+00,0.000000000000000000e+00,2.347700000000000031e+01,2.300000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+02,2.347700000000000031e+01,6.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+02,2.367000000000000171e+01,6.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+02,2.370200000000000173e+01,6.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+02,2.370200000000000173e+01,6.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+02,2.376699999999999946e+01,6.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+02,2.373400000000000176e+01,6.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+02,2.376699999999999946e+01,6.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+02,2.373400000000000176e+01,6.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+02,2.389600000000000080e+01,6.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+02,2.402400000000000091e+01,6.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+02,2.408899999999999864e+01,6.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+02,2.434700000000000131e+01,6.000000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+02,2.437900000000000134e+01,6.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+02,2.466900000000000048e+01,6.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+02,2.486199999999999832e+01,6.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+02,2.502299999999999969e+01,6.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+02,2.528099999999999881e+01,6.000000000000000000e+01
2.700000000000000000e+01,1.000000000000000000e+02,2.563599999999999923e+01,6.000000000000000000e+01
2.800000000000000000e+01,1.000000000000000000e+02,2.582900000000000063e+01,6.000000000000000000e+01
2.900000000000000000e+01,1.000000000000000000e+02,2.605499999999999972e+01,6.000000000000000000e+01
3.000000000000000000e+01,1.000000000000000000e+02,2.637699999999999889e+01,6.000000000000000000e+01
3.100000000000000000e+01,1.000000000000000000e+02,2.660300000000000153e+01,6.000000000000000000e+01
3.200000000000000000e+01,1.000000000000000000e+02,2.692500000000000071e+01,6.000000000000000000e+01
3.300000000000000000e+01,1.000000000000000000e+02,2.724699999999999989e+01,6.000000000000000000e+01
3.400000000000000000e+01,1.000000000000000000e+02,2.756899999999999906e+01,6.000000000000000000e+01
3.500000000000000000e+01,1.000000000000000000e+02,2.789199999999999946e+01,6.000000000000000000e+01
3.600000000000000000e+01,1.000000000000000000e+02,2.824599999999999866e+01,6.000000000000000000e+01
3.700000000000000000e+01,1.000000000000000000e+02,2.847200000000000131e+01,6.000000000000000000e+01
3.800000000000000000e+01,1.000000000000000000e+02,2.882600000000000051e+01,6.000000000000000000e+01
3.900000000000000000e+01,1.000000000000000000e+02,2.918100000000000094e+01,6.000000000000000000e+01
4.000000000000000000e+01,1.000000000000000000e+02,2.950300000000000011e+01,6.000000000000000000e+01
4.100000000000000000e+01,1.000000000000000000e+02,2.982499999999999929e+01,6.000000000000000000e+01
4.200000000000000000e+01,1.000000000000000000e+02,3.008299999999999841e+01,6.000000000000000000e+01
4.300000000000000000e+01,1.000000000000000000e+02,3.043799999999999883e+01,6.000000000000000000e+01
4.400000000000000000e+01,1.000000000000000000e+02,3.082400000000000162e+01,6.000000000000000000e+01
4.500000000000000000e+01,1.000000000000000000e+02,3.111400000000000077e+01,6.000000000000000000e+01
4.600000000000000000e+01,1.000000000000000000e+02,3.146900000000000119e+01,6.000000000000000000e+01
4.700000000000000000e+01,1.000000000000000000e+02,3.179100000000000037e+01,6.000000000000000000e+01
4.800000000000000000e+01,1.000000000000000000e+02,3.208100000000000307e+01,6.000000000000000000e+01
4.900000000000000000e+01,1.000000000000000000e+02,3.243599999999999994e+01,6.000000000000000000e+01
5.000000000000000000e+01,1.000000000000000000e+02,3.275800000000000267e+01,6.000000000000000000e+01
5.100000000000000000e+01,1.000000000000000000e+02,3.307999999999999829e+01,6.000000000000000000e+01
5.200000000000000000e+01,1.000000000000000000e+02,3.343500000000000227e+01,6.000000000000000000e+01
5.300000000000000000e+01,1.000000000000000000e+02,3.369200000000000017e+01,6.000000000000000000e+01
5.400000000000000000e+01,1.000000000000000000e+02,3.407900000000000063e+01,6.000000000000000000e+01
5.500000000000000000e+01,1.000000000000000000e+02,3.436899999999999977e+01,6.000000000000000000e+01
5.600000000000000000e+01,1.000000000000000000e+02,3.475600000000000023e+01,6.000000000000000000e+01
5.700000000000000000e+01,1.000000000000000000e+02,3.510999999999999943e+01,6.000000000000000000e+01
5.800000000000000000e+01,1.000000000000000000e+02,3.559400000000000119e+01,6.000000000000000000e+01
5.900000000000000000e+01,1.000000000000000000e+02,3.597999999999999687e+01,6.000000000000000000e+01
6.000000000000000000e+01,1.000000000000000000e+02,3.630299999999999727e+01,6.000000000000000000e+01
6.100000000000000000e+01,1.000000000000000000e+02,3.656099999999999994e+01,6.000000000000000000e+01
6.200000000000000000e+01,1.000000000000000000e+02,3.691499999999999915e+01,6.000000000000000000e+01
6.300000000000000000e+01,1.000000000000000000e+02,3.730199999999999960e+01,6.000000000000000000e+01
6.400000000000000000e+01,1.000000000000000000e+02,3.759199999999999875e+01,6.000000000000000000e+01
6.500000000000000000e+01,1.000000000000000000e+02,3.791400000000000148e+01,6.000000000000000000e+01
6.600000000000000000e+01,1.000000000000000000e+02,3.823599999999999710e+01,6.000000000000000000e+01
