Time,Q1,T1,SP1
0.000000000000000000e+00,2.348901587301587934e+00,2.089799999999999969e+01,2.300000000000000000e+01
1.000000000000000000e+00,2.362247619047619374e+00,2.089799999999999969e+01,2.300000000000000000e+01
2.000000000000000000e+00,2.375593650793651257e+00,2.089799999999999969e+01,2.300000000000000000e+01
3.000000000000000000e+00,2.388939682539683140e+00,2.089799999999999969e+01,2.300000000000000000e+01
4.000000000000000000e+00,2.402285714285714580e+00,2.089799999999999969e+01,2.300000000000000000e+01
5.000000000000000000e+00,2.415631746031746463e+00,2.089799999999999969e+01,2.300000000000000000e+01
6.000000000000000000e+00,2.428977777777778346e+00,2.089799999999999969e+01,2.300000000000000000e+01
7.000000000000000000e+00,2.442323809523810230e+00,2.089799999999999969e+01,2.300000000000000000e+01
8.000000000000000000e+00,2.455669841269841669e+00,2.089799999999999969e+01,2.300000000000000000e+01
9.000000000000000000e+00,2.469015873015873552e+00,2.089799999999999969e+01,2.300000000000000000e+01
1.000000000000000000e+01,4.371999999999999886e+01,2.099500000000000099e+01,6.000000000000000000e+01
1.100000000000000000e+01,4.389501587301587193e+01,2.105999999999999872e+01,6.000000000000000000e+01
1.200000000000000000e+01,4.417913015873016036e+01,2.102700000000000102e+01,6.000000000000000000e+01
1.300000000000000000e+01,4.431818412698413567e+01,2.112399999999999878e+01,6.000000000000000000e+01
1.400000000000000000e+01,4.456501587301588074e+01,2.112399999999999878e+01,6.000000000000000000e+01
1.500000000000000000e+01,4.474033015873015984e+01,2.118799999999999883e+01,6.000000000000000000e+01
1.600000000000000000e+01,4.487836190476190978e+01,2.128500000000000014e+01,6.000000000000000000e+01
1.700000000000000000e+01,4.508841269841269650e+01,2.131700000000000017e+01,6.000000000000000000e+01
1.800000000000000000e+01,4.536977777777778442e+01,2.128500000000000014e+01,6.000000000000000000e+01
1.900000000000000000e+01,4.547143492063491976e+01,2.141400000000000148e+01,6.000000000000000000e+01
2.000000000000000000e+01,4.557227301587302293e+01,2.154299999999999926e+01,6.000000000000000000e+01
2.100000000000000000e+01,4.563653333333333251e+01,2.170400000000000063e+01,6.000000000000000000e+01
2.200000000000000000e+01,4.598807619047619255e+01,2.160699999999999932e+01,6.000000000000000000e+01
2.300000000000000000e+01,4.601505396825396588e+01,2.180099999999999838e+01,6.000000000000000000e+01
2.400000000000000000e+01,4.607767619047618979e+01,2.196199999999999974e+01,6.000000000000000000e+01
2.500000000000000000e+01,4.624766984126985392e+01,2.202599999999999980e+01,6.000000000000000000e+01
2.600000000000000000e+01,4.634462222222222039e+01,2.215500000000000114e+01,6.000000000000000000e+01
2.700000000000000000e+01,4.644075555555555468e+01,2.228399999999999892e+01,6.000000000000000000e+01
2.800000000000000000e+01,4.657182857142856847e+01,2.238100000000000023e+01,6.000000000000000000e+01
2.900000000000000000e+01,4.652237460317461171e+01,2.263899999999999935e+01,6.000000000000000000e+01
3.000000000000000000e+01,4.679646349206349498e+01,2.260600000000000165e+01,6.000000000000000000e+01
3.100000000000000000e+01,4.667294603174602940e+01,2.292899999999999849e+01,6.000000000000000000e+01
3.200000000000000000e+01,4.690831746031746263e+01,2.292899999999999849e+01,6.000000000000000000e+01
3.300000000000000000e+01,4.681962539682539415e+01,2.321900000000000119e+01,6.000000000000000000e+01
3.400000000000000000e+01,4.701739682539682263e+01,2.325100000000000122e+01,6.000000000000000000e+01
3.500000000000000000e+01,4.699817777777776939e+01,2.347700000000000031e+01,6.000000000000000000e+01
3.600000000000000000e+01,4.715855238095238633e+01,2.354100000000000037e+01,6.000000000000000000e+01
3.700000000000000000e+01,4.703021587301587658e+01,2.386299999999999955e+01,6.000000000000000000e+01
3.800000000000000000e+01,4.718702222222222531e+01,2.392800000000000082e+01,6.000000000000000000e+01
3.900000000000000000e+01,4.709198730158730228e+01,2.421799999999999997e+01,6.000000000000000000e+01
4.000000000000000000e+01,4.728341587301587623e+01,2.425000000000000000e+01,6.000000000000000000e+01
4.100000000000000000e+01,4.718633650793651668e+01,2.453999999999999915e+01,6.000000000000000000e+01
4.200000000000000000e+01,4.737572063492063990e+01,2.457199999999999918e+01,6.000000000000000000e+01
4.300000000000000000e+01,4.720396190476190412e+01,2.492699999999999960e+01,6.000000000000000000e+01
4.400000000000000000e+01,4.731937142857143641e+01,2.502299999999999969e+01,6.000000000000000000e+01
4.500000000000000000e+01,4.736041904761904675e+01,2.518499999999999872e+01,6.000000000000000000e+01
4.600000000000000000e+01,4.725740317460318352e+01,2.547500000000000142e+01,6.000000000000000000e+01
4.700000000000000000e+01,4.733245714285715167e+01,2.560399999999999920e+01,6.000000000000000000e+01
4.800000000000000000e+01,4.729941587301587447e+01,2.582900000000000063e+01,6.000000000000000000e+01
4.900000000000000000e+01,4.751637460317460437e+01,2.582900000000000063e+01,6.000000000000000000e+01
5.000000000000000000e+01,4.737351111111112090e+01,2.615099999999999980e+01,6.000000000000000000e+01
5.100000000000000000e+01,4.748003174603174159e+01,2.624800000000000111e+01,6.000000000000000000e+01
5.200000000000000000e+01,4.737026666666668007e+01,2.653800000000000026e+01,6.000000000000000000e+01
5.300000000000000000e+01,4.736705396825396974e+01,2.673100000000000165e+01,6.000000000000000000e+01
